"ChangeStep","Species","Cell","p11","p21","p31","p12","p22","p32","p13","p23","p33"
1,1,1,0,0,459.1125,0.1,0,0,0,0.1,0.1
1,1,2,0,0,459.1125,0.1,0,0,0,0.1,0.1
1,1,3,0,0,459.1125,0.1,0,0,0,0.1,0.1
1,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
1,2,1,0,0,18.3645,0.1,0,0,0,0.1,0.95
1,2,2,0,0,18.3645,0.1,0,0,0,0.1,0.95
1,2,3,0,0,18.3645,0.1,0,0,0,0.1,0.95
1,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
1,3,1,0,0,367.29,0.1,0,0,0,0.1,0.5
1,3,2,0,0,367.29,0.1,0,0,0,0.1,0.5
1,3,3,0,0,367.29,0.1,0,0,0,0.1,0.5
1,3,4,0,0,367.29,0.1,0,0,0,0.08,0.5
2,1,1,0,0,459.1125,0.1,0,0,0,0.1,0.1
2,1,2,0,0,459.1125,0.1,0,0,0,0.1,0.1
2,1,3,0,0,459.1125,0.1,0,0,0,0.1,0.1
2,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
2,2,1,0,0,18.3645,0.1,0,0,0,0.1,0.95
2,2,2,0,0,18.3645,0.1,0,0,0,0.1,0.95
2,2,3,0,0,18.3645,0.1,0,0,0,0.1,0.95
2,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
2,3,1,0,0,367.29,0.1,0,0,0,0.1,0.5
2,3,2,0,0,367.29,0.1,0,0,0,0.1,0.5
2,3,3,0,0,367.29,0.1,0,0,0,0.1,0.5
2,3,4,0,0,367.29,0.1,0,0,0,0.08,0.5
3,1,1,0,0,459.1125,0.1,0,0,0,0.1,0.1
3,1,2,0,0,459.1125,0.1,0,0,0,0.1,0.1
3,1,3,0,0,459.1125,0.1,0,0,0,0.1,0.1
3,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
3,2,1,0,0,18.3645,0.1,0,0,0,0.1,0.95
3,2,2,0,0,18.3645,0.1,0,0,0,0.1,0.95
3,2,3,0,0,18.3645,0.1,0,0,0,0.1,0.95
3,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
3,3,1,0,0,367.29,0.1,0,0,0,0.1,0.5
3,3,2,0,0,367.29,0.1,0,0,0,0.1,0.5
3,3,3,0,0,367.29,0.1,0,0,0,0.1,0.5
3,3,4,0,0,367.29,0.1,0,0,0,0.08,0.5
4,1,1,0,0,459.1125,0.1,0,0,0,0.1,0.1
4,1,2,0,0,459.1125,0.1,0,0,0,0.1,0.1
4,1,3,0,0,459.1125,0.1,0,0,0,0.1,0.1
4,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
4,2,1,0,0,18.3645,0.1,0,0,0,0.1,0.95
4,2,2,0,0,18.3645,0.1,0,0,0,0.1,0.95
4,2,3,0,0,18.3645,0.1,0,0,0,0.1,0.95
4,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
4,3,1,0,0,367.29,0.1,0,0,0,0.1,0.5
4,3,2,0,0,367.29,0.1,0,0,0,0.1,0.5
4,3,3,0,0,367.29,0.1,0,0,0,0.1,0.5
4,3,4,0,0,367.29,0.1,0,0,0,0.08,0.5
5,1,1,0,0,459.1125,0.1,0,0,0,0.1,0.1
5,1,2,0,0,459.1125,0.1,0,0,0,0.1,0.1
5,1,3,0,0,459.1125,0.1,0,0,0,0.1,0.1
5,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
5,2,1,0,0,18.3645,0.1,0,0,0,0.1,0.95
5,2,2,0,0,18.3645,0.1,0,0,0,0.1,0.95
5,2,3,0,0,18.3645,0.1,0,0,0,0.1,0.95
5,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
5,3,1,0,0,367.29,0.1,0,0,0,0.1,0.5
5,3,2,0,0,367.29,0.1,0,0,0,0.1,0.5
5,3,3,0,0,367.29,0.1,0,0,0,0.1,0.5
5,3,4,0,0,367.29,0.1,0,0,0,0.08,0.5
6,1,1,0,0,459.1125,0.1,0,0,0,0.1,0.1
6,1,2,0,0,459.1125,0.1,0,0,0,0.1,0.1
6,1,3,0,0,459.1125,0.1,0,0,0,0.1,0.1
6,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
6,2,1,0,0,18.3645,0.1,0,0,0,0.1,0.95
6,2,2,0,0,18.3645,0.1,0,0,0,0.1,0.95
6,2,3,0,0,18.3645,0.1,0,0,0,0.1,0.95
6,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
6,3,1,0,0,367.29,0.1,0,0,0,0.1,0.5
6,3,2,0,0,367.29,0.1,0,0,0,0.1,0.5
6,3,3,0,0,367.29,0.1,0,0,0,0.1,0.5
6,3,4,0,0,367.29,0.1,0,0,0,0.08,0.5
7,1,1,0,0,459.1125,0.001,0,0,0,0.001,0
7,1,2,0,0,459.1125,0.001,0,0,0,0.001,0
7,1,3,0,0,459.1125,0.001,0,0,0,0.001,0
7,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
7,2,1,0,0,18.3645,0.1,0,0,0,0.1,0.95
7,2,2,0,0,18.3645,0.1,0,0,0,0.1,0.95
7,2,3,0,0,18.3645,0.1,0,0,0,0.1,0.95
7,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
7,3,1,0,0,367.29,0.001,0,0,0,0.001,0
7,3,2,0,0,367.29,0.001,0,0,0,0.001,0
7,3,3,0,0,367.29,0.001,0,0,0,0.001,0
7,3,4,0,0,367.29,0.1,0,0,0,0.08,0.5
8,1,1,0,0,459.1125,0.001,0,0,0,0.001,0
8,1,2,0,0,459.1125,0.001,0,0,0,0.001,0
8,1,3,0,0,459.1125,0.001,0,0,0,0.001,0
8,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
8,2,1,0,0,18.3645,0.1,0,0,0,0.1,0.95
8,2,2,0,0,18.3645,0.1,0,0,0,0.1,0.95
8,2,3,0,0,18.3645,0.1,0,0,0,0.1,0.95
8,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
8,3,1,0,0,367.29,0.001,0,0,0,0.001,0
8,3,2,0,0,367.29,0.001,0,0,0,0.001,0
8,3,3,0,0,367.29,0.001,0,0,0,0.001,0
8,3,4,0,0,367.29,0.1,0,0,0,0.08,0.5
9,1,1,0,0,459.1125,0.1,0,0,0,0.1,0.1
9,1,2,0,0,459.1125,0.1,0,0,0,0.1,0.1
9,1,3,0,0,459.1125,0.1,0,0,0,0.1,0.1
9,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
9,2,1,0,0,18.3645,0.1,0,0,0,0.1,0.95
9,2,2,0,0,18.3645,0.1,0,0,0,0.1,0.95
9,2,3,0,0,18.3645,0.1,0,0,0,0.1,0.95
9,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
9,3,1,0,0,367.29,0.1,0,0,0,0.1,0.5
9,3,2,0,0,367.29,0.1,0,0,0,0.1,0.5
9,3,3,0,0,367.29,0.1,0,0,0,0.1,0.5
9,3,4,0,0,367.29,0.1,0,0,0,0.08,0.5
10,1,1,0,0,459.1125,0.1,0,0,0,0.1,0.1
10,1,2,0,0,459.1125,0.1,0,0,0,0.1,0.1
10,1,3,0,0,459.1125,0.1,0,0,0,0.1,0.1
10,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
10,2,1,0,0,18.3645,0.1,0,0,0,0.1,0.95
10,2,2,0,0,18.3645,0.1,0,0,0,0.1,0.95
10,2,3,0,0,18.3645,0.1,0,0,0,0.1,0.95
10,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
10,3,1,0,0,367.29,0.1,0,0,0,0.1,0.5
10,3,2,0,0,367.29,0.1,0,0,0,0.1,0.5
10,3,3,0,0,367.29,0.1,0,0,0,0.1,0.5
10,3,4,0,0,367.29,0.1,0,0,0,0.08,0.5
11,1,1,0,0,459.1125,0.1,0,0,0,0.1,0.1
11,1,2,0,0,459.1125,0.1,0,0,0,0.1,0.1
11,1,3,0,0,459.1125,0.1,0,0,0,0.1,0.1
11,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
11,2,1,0,0,18.3645,0.1,0,0,0,0.1,0.95
11,2,2,0,0,18.3645,0.1,0,0,0,0.1,0.95
11,2,3,0,0,18.3645,0.1,0,0,0,0.1,0.95
11,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
11,3,1,0,0,367.29,0.1,0,0,0,0.1,0.5
11,3,2,0,0,367.29,0.1,0,0,0,0.1,0.5
11,3,3,0,0,367.29,0.1,0,0,0,0.1,0.5
11,3,4,0,0,367.29,0.1,0,0,0,0.08,0.5
12,1,1,0,0,459.1125,0.1,0,0,0,0.1,0.1
12,1,2,0,0,459.1125,0.1,0,0,0,0.1,0.1
12,1,3,0,0,459.1125,0.1,0,0,0,0.1,0.1
12,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
12,2,1,0,0,18.3645,0.1,0,0,0,0.1,0.95
12,2,2,0,0,18.3645,0.1,0,0,0,0.1,0.95
12,2,3,0,0,18.3645,0.1,0,0,0,0.1,0.95
12,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
12,3,1,0,0,367.29,0.1,0,0,0,0.1,0.5
12,3,2,0,0,367.29,0.1,0,0,0,0.1,0.5
12,3,3,0,0,367.29,0.1,0,0,0,0.1,0.5
12,3,4,0,0,367.29,0.1,0,0,0,0.08,0.5
