LifeStage,Species,TimeStep,Cell1,Cell2,Cell3,Cell4
Seeds,1,1,384195.332252215,383576.780774173,383592.986208283,203705
Juveniles,1,1,1e+05,1e+05,1e+05,0
Adults,1,1,5185.18518518519,5185.18518518519,5185.18518518519,0
ALL,1,1,489380.5174374,488761.965959358,488778.171393468,203705
Seeds,2,1,15367.8132900886,15343.0712309669,15343.7194483313,8148.2
Juveniles,2,1,50000,50000,50000,0
Adults,2,1,4814.81481481481,4814.81481481481,4814.81481481481,0
ALL,2,1,70182.6281049034,70157.8860457817,70158.5342631461,8148.2
Seeds,3,1,436.854457696718,1080.1479948603,1063.29434338621,183645
Juveniles,3,1,0,0,0,5000
Adults,3,1,0,0,0,650
ALL,3,1,436.854457696718,1080.1479948603,1063.29434338621,189295
Seeds,1,2,385145.608888236,384366.691791207,384387.090436499,184564.168163386
Juveniles,1,2,38419.5332252215,38357.6780774173,38359.2986208283,20370.5
Adults,1,2,5235.02304147465,5235.02304147465,5235.02304147465,0
ALL,1,2,428800.165154932,427959.392910099,427981.412098802,204934.668163386
Seeds,2,2,14305.4083301345,14276.4771236734,14277.2347876414,6855.24053178293
Juveniles,2,2,1536.78132900886,1534.30712309669,1534.37194483313,814.82
Adults,2,2,4764.97695852535,4764.97695852535,4764.97695852535,0
ALL,2,2,20607.1666176687,20575.7612052954,20576.5836909999,7670.06053178292
Seeds,3,2,548.982781629646,1356.83108512,1335.67477586005,208580.591304831
Juveniles,3,2,43.6854457696718,108.01479948603,106.329434338621,18364.5
Adults,3,2,0,0,0,725
ALL,3,2,592.668227399317,1464.84588460603,1442.00421019867,227670.091304831
Seeds,1,3,385362.701667091,384501.393708209,384523.945363197,175059.89437301
Juveniles,1,3,38514.5608888236,38436.6691791207,38438.7090436499,18456.4168163386
Adults,1,3,4365.45562666961,4359.27011188919,4359.43216623029,0
ALL,1,3,428242.718182585,427297.332999218,427322.086573077,193516.311189348
Seeds,2,3,14030.4589268934,13999.1000385313,13999.9211093502,6373.65953456662
Juveniles,2,3,1430.54083301345,1427.64771236734,1427.72347876414,685.524053178293
Adults,2,3,4680.40624349996,4680.15882290875,4680.16530508239,0
ALL,2,3,20141.4060034068,20106.9065738073,20107.8098931967,7059.18358774491
Seeds,3,3,606.839406015257,1499.50625326022,1476.1335274533,218566.446092424
Juveniles,3,3,54.8982781629646,135.683108512,133.567477586005,20858.0591304831
Adults,3,3,4.36854457696718,10.801479948603,10.6329434338621,1831.66
ALL,3,3,666.106228755189,1645.99084172083,1620.33394847316,241256.165222907
Seeds,1,4,381482.303586529,378531.699631872,378609.304623597,82786.5071383966
Juveniles,1,4,38536.2701667091,38450.1393708209,38452.3945363197,17505.989437301
Adults,1,4,4288.00165154932,4279.59392910099,4279.81412098802,0
ALL,1,4,424306.575404788,421261.432931794,421341.513280905,100292.496575698
Seeds,2,4,16361.6981799804,16255.0483293183,16257.8249833191,3554.33192826523
Juveniles,2,4,1403.04589268934,1399.91000385313,1399.99211093502,637.365953456662
Adults,2,4,4589.44001462631,4588.91565300004,4588.92938770469,0
ALL,2,4,22354.1840872961,22243.8739861715,22246.7464819588,4191.6978817219
Seeds,3,4,2155.99823349049,5213.25203880936,5132.87039308402,313659.160933338
Juveniles,3,4,60.6839406015257,149.950625326022,147.61335274533,21856.6446092424
Adults,3,4,7.67410010478005,18.9690508255015,18.6732194755315,2584.47473043865
ALL,3,4,2224.35627419679,5382.17171496089,5299.15696530488,338100.280273019
Seeds,1,5,380500.928312412,376164.404366574,376278.290245484,61648.0418984442
Juveniles,1,5,38148.2303586529,37853.1699631872,37860.9304623597,8278.65071383966
Adults,1,5,4282.42718182585,4272.97332999218,4273.22086573077,0
ALL,1,5,422931.585852891,418290.547659754,418412.441573574,69926.6926122839
Seeds,2,5,16292.0088779207,16133.070721829,16137.208030707,2643.26071789783
Juveniles,2,5,1636.16981799804,1625.50483293183,1625.78249833191,355.433192826524
Adults,2,5,4500.27260316393,4499.46087073535,4499.48212941295,0
ALL,2,5,22428.4512990827,22258.0364254962,22262.4726584519,2998.69391072435
Seeds,3,5,3207.06280966752,7702.5249115968,7584.50172380923,335708.697383658
Juveniles,3,5,215.599823349049,521.325203880936,513.287039308402,31365.9160933338
Adults,3,5,9.9054441125426,24.479587945353,24.0979450122987,3040.76893395871
ALL,3,5,3432.56807712911,8248.32970342309,8121.88670812992,370115.382410951
Seeds,1,6,380173.859906782,375008.609344234,375144.09484328,53625.7903412638
Juveniles,1,6,38050.0928312412,37616.4404366574,37627.8290245484,6164.80418984442
Adults,1,6,4243.06575404788,4212.61432931794,4213.41513280905,0
ALL,1,6,422467.018492071,416837.664110209,416985.339000637,59790.5945311082
Seeds,2,6,15982.7149245573,15794.3078294712,15799.2110287931,2257.89008157735
Juveniles,2,6,1629.20088779207,1613.3070721829,1613.7208030707,264.326071789783
Adults,2,6,4438.87595480554,4437.03831049177,4437.0862727755,0
ALL,2,6,22050.7917671549,21844.6532121458,21850.0181046393,2522.21615336713
Seeds,3,6,3843.42516866069,9197.08282629536,9056.69412792733,344116.319577159
Juveniles,3,6,320.706280966752,770.25249115968,758.450172380923,33570.8697383658
Adults,3,6,26.5127043911762,64.3723143607701,63.3776764369895,4029.65775444606
ALL,3,6,4190.64415401862,10031.7076318158,9878.52197674524,381716.847069971
Seeds,1,7,378017.303196908,370020.691057762,370231.621511684,41385.1485583297
Juveniles,1,7,380.173859906782,375.008609344234,375.14409484328,5362.57903412638
Adults,1,7,38.0500928312412,37.6164404366574,37.6278290245484,0
ALL,1,7,378435.527149646,370433.316107543,370644.393435552,46747.7275924561
Seeds,2,7,15825.7152192485,15585.6085792893,15591.8233634969,1741.42798500705
Juveniles,2,7,1598.27149245573,1579.43078294712,1579.92110287931,225.789008157735
Adults,2,7,4379.85224584447,4376.51710218547,4376.60403944379,0
ALL,2,7,21803.8389575487,21541.5564644219,21548.34850582,1967.21699316479
Seeds,3,7,6156.98158384375,14393.7003629488,14176.5551248194,356873.423456663
Juveniles,3,7,3.84342516866069,9.19708282629536,9.05669412792733,34411.6319577159
Adults,3,7,0.320706280966752,0.77025249115968,0.758450172380923,4700.4984562923
ALL,3,7,6161.14571529338,14403.6676982663,14186.3702691197,395985.553870671
Seeds,1,8,18738.4950456884,18170.7004812404,18185.6282210979,354.037615582122
Juveniles,1,8,378.017303196908,370.020691057762,370.231621511684,4138.51485583297
Adults,1,8,0.380173859906782,0.375008609344234,0.37514409484328,0
