"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,15555.5555555556,14444.4444444444,650,NA,NA,NA
2,15705.069124424,14294.930875576,725,0.00956568913566138,-0.010404882923338,0.109199291964992
3,13084.1579047891,14040.7303714911,1857.46296795943,-0.182581356264539,-0.0179425721899154,0.940795185042909
4,12847.4097016383,13767.285055331,2629.79110084446,-0.0182599667619306,-0.0196672884426312,0.347692852782843
5,12828.6213775488,13499.2156033122,3099.25191102891,-0.00146349156417281,-0.0196635492655185,0.164256349647759
6,12669.0952161749,13313.0005380728,4183.920449635,-0.0125131395444617,-0.0138905384310815,0.300087950242278
7,113.294362292447,13132.9733874737,4702.3478652368,-4.71693145157329,-0.0136149216518266,0.116813216191288
8,1.1303265640943,12952.0870559283,5103.20188196554,-4.60748282193547,-0.0138691824348559,0.0818062329473855
9,111.939994233045,12774.5141747522,5410.06105234324,4.59545637619792,-0.0138048317871644,0.0583922151588865
10,562.142236903572,14690.2821507777,7428.23829873238,1.61379194650248,0.139734091004745,0.317028346233278
11,61.7110338194823,16475.0821206002,8565.48334810626,-2.20929216338681,0.114662867936808,0.142451839001741
12,550.557205666575,18136.1081015091,9244.8435358136,2.18846812153717,0.0960558088566034,0.0763253773795755
