RunTime,Sp1,Sp2,Sp3
1,3e+05,150000,5000
2,135507.009923467,5420.28039693868,18622.5296795943
3,133846.355927933,4971.43607732322,21182.207994744
4,132944.793511151,4840.31396093415,22214.8925279152
5,122140.98149804,5242.89034208831,32616.1281598722
6,119459.166482291,5120.55483483546,35420.2786828732
7,6492.90559822068,4983.41238643989,34433.7291598388
8,5256.78447159932,4874.45751470417,35722.0695827379
9,5544.88613636089,25709.3766211662,55192.1090185891
10,55.2937460526539,25342.6984574933,56483.6653216723
11,5474.2477384428,24986.9474079405,57587.1119667752
12,23747.2980047597,24790.8233724298,105304.883328449
