X_displacement,Y_displacement,Dispersal_Probability_mean_0.14_var_1
-4,0,1.1e-05
-4,1,1.4e-05
-4,2,1.4e-05
-3,-3,1.1e-05
-3,-2,3.3e-05
-3,-1,5.9e-05
-3,0,7.7e-05
-3,1,5.2e-05
-3,2,3e-05
-2,-4,1e-05
-2,-3,2.5e-05
-2,-2,9.9e-05
-2,-1,0.000335
-2,0,0.000618
-2,1,0.000323
-2,2,0.000104
-2,3,2.1e-05
-2,4,1.8e-05
-1,-4,1.5e-05
-1,-3,5.5e-05
-1,-2,0.000335
-1,-1,0.003289
-1,0,0.016059
-1,1,0.00345
-1,2,0.000317
-1,3,5.2e-05
-1,4,1.5e-05
0,-4,1.4e-05
0,-3,6.7e-05
0,-2,0.000581
0,-1,0.015982
0,0,0.915353
0,1,0.01592
0,2,0.000579
0,3,8.9e-05
0,4,1.5e-05
1,-3,7.1e-05
1,-2,0.000334
1,-1,0.003416
1,0,0.016343
1,1,0.003399
1,2,0.000297
1,3,4.3e-05
1,4,1.2e-05
2,-4,1.1e-05
2,-3,2.9e-05
2,-2,0.000109
2,-1,0.000316
2,0,0.000587
2,1,0.000301
2,2,9e-05
2,3,3e-05
3,-2,2e-05
3,-1,4.9e-05
3,0,7e-05
3,1,5.3e-05
3,2,3.6e-05
3,3,1.1e-05
4,-1,1.6e-05
4,0,1.2e-05
4,1,1.1e-05
