"ChangeStep","Species","A.Eigen","Is.Irreducible","Is.Ergodic","Max.Local.Eigen","Median.Local.Eigen","Min.Local.Eigen","Max.Seed.Export","Median.Seed.Export","Min.Seed.Export","Max.Seed.Import","Median.Seed.Import","Min.Seed.Import","Prop.Dispersing"
1,1,1.72870557928584,0,0,1.69604403524897,1.69604403524897,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
1,2,1.10845572678706,0,0,1.10138990745745,1.10138990745745,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
1,3,1.76237031571622,1,1,1.7288448609347,1.7288448609347,1.6198387844121,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
2,1,1.72870557928584,0,0,1.69604403524897,1.69604403524897,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
2,2,1.10845572678706,0,0,1.10138990745745,1.10138990745745,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
2,3,1.76237031571622,1,1,1.7288448609347,1.7288448609347,1.6198387844121,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
3,1,1.72870557928584,0,0,1.69604403524897,1.69604403524897,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
3,2,1.10845572678706,0,0,1.10138990745745,1.10138990745745,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
3,3,1.76237031571622,1,1,1.7288448609347,1.7288448609347,1.6198387844121,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
4,1,1.72870557928584,0,0,1.69604403524897,1.69604403524897,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
4,2,1.10845572678706,0,0,1.10138990745745,1.10138990745745,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
4,3,1.76237031571622,1,1,1.7288448609347,1.7288448609347,1.6198387844121,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
5,1,1.72870557928584,0,0,1.69604403524897,1.69604403524897,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
5,2,1.10845572678706,0,0,1.10138990745745,1.10138990745745,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
5,3,1.76237031571622,1,1,1.7288448609347,1.7288448609347,1.6198387844121,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
6,1,1.72870557928584,0,0,1.69604403524897,1.69604403524897,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
6,2,1.10845572678706,0,0,1.10138990745745,1.10138990745745,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
6,3,1.76237031571622,1,1,1.7288448609347,1.7288448609347,1.6198387844121,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
7,1,0.1,0,0,0.1,0.0771447493656962,0.0771447493656962,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
7,2,1.10845572678706,0,0,1.10138990745745,1.10138990745745,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
7,3,1.61983890353387,1,1,1.6198387844121,0.0716148414455344,0.0716148414455344,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
8,1,0.1,0,0,0.1,0.0771447493656962,0.0771447493656962,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
8,2,1.10845572678706,0,0,1.10138990745745,1.10138990745745,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
8,3,1.61983890353387,1,1,1.6198387844121,0.0716148414455344,0.0716148414455344,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
9,1,1.72870557928584,0,0,1.69604403524897,1.69604403524897,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
9,2,1.10845572678706,0,0,1.10138990745745,1.10138990745745,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
9,3,1.76237031571622,1,1,1.7288448609347,1.7288448609347,1.6198387844121,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
10,1,1.72870557928584,0,0,1.69604403524897,1.69604403524897,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
10,2,1.10845572678706,0,0,1.10138990745745,1.10138990745745,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
10,3,1.76237031571622,1,1,1.7288448609347,1.7288448609347,1.6198387844121,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
