"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,1670625.65479023,218647.248413831,191875.296795943,NA,NA,NA
2,1489675.63832722,69429.5720457469,231169.609627035,-0.114639795993143,-1.14714680642437,0.186306016749046
3,1476378.44894423,67415.3060581558,245188.596241856,-0.0089663088243898,-0.0294408019353065,0.0588760130860626
4,1367202.01819318,71036.5024371483,351005.965227482,-0.0768257660678968,0.0523217787730232,0.358775523276924
5,1329561.2676985,69947.6542937551,389918.166899633,-0.0279173150664194,-0.0154466972534708,0.105133670372596
6,1316080.61613403,68267.6792373072,405817.72083255,-0.0101909244149817,-0.024310729542128,0.0399672066766932
7,1166260.9642852,66860.9609209553,430736.737553351,-0.120855215035831,-0.0208211839411715,0.0595929904161119
8,60706.7761617723,274920.310782294,592746.361650594,-2.95550282796173,1.41386602367524,0.319269501105537
9,6209.76359112047,291910.875370851,625438.823287656,-2.27993249931397,0.059967257647013,0.0536869337851578
10,55359.9133673843,289902.454687676,639783.023288157,2.18773292025466,-0.00690403109426521,0.0226755721314774
11,243008.938819859,289370.263252839,1119201.42859937,1.47924248151822,-0.00183744743395389,0.559241607038238
12,48349.8277661545,299295.133558943,1368487.97307674,-1.61463556826846,0.0337230994998075,0.201091040246323
