RunTime,Sp1,Sp2,Sp3
1,1355070.09923467,54202.8039693868,186225.296795943
2,1338463.55927933,49714.3607732322,211822.07994744
3,1329447.93511151,48403.1396093415,222148.925279152
4,1221409.81498039,52428.9034208831,326161.281598722
5,1194591.66482291,51205.5483483546,354202.786828732
6,1183952.35443556,49834.1238643989,366213.521700042
7,1159654.76432468,48744.5751470417,391600.660528275
8,55448.8613636089,257093.766211662,551921.090185891
9,552.937460526539,253426.984574933,564836.653216723
10,54742.477384428,249869.474079405,575871.119667752
11,237472.980047597,247908.233724298,1053048.83328449
12,24051.9725557283,256368.202085004,1253938.24621248
