"ChangeStep","Species","Cell","Dominant.EigenValue","Per.Capita.Seeds.Exported","Per.Capita.Seeds.Imported","Prop.seeds.exported"
1,1,1,1.69549006834478,40.741,40.741,0.0815058812231984
1,1,2,1.69549006834478,40.741,40.741,0.0815058812231984
1,1,3,1.69549006834478,40.741,40.741,0.0815058812231984
1,1,4,0.1,40.741,40.741,0.0815058812231984
1,2,1,1.1010337143227,1.62964,1.62964,0.0815058812231984
1,2,2,1.1010337143227,1.62964,1.62964,0.0815058812231984
1,2,3,1.1010337143227,1.62964,1.62964,0.0815058812231984
1,2,4,0.95,1.62964,1.62964,0.0815058812231984
1,3,1,1.7278292812304,32.5928,32.5928,0.0815058812231984
1,3,2,1.7278292812304,32.5928,32.5928,0.0815058812231984
1,3,3,1.7278292812304,32.5928,32.5928,0.0815058812231984
1,3,4,1.61889817504928,32.5928,32.5928,0.0815058812231984
2,1,1,1.51276788096547,40.741,40.741,0.0815058812231984
2,1,2,1.61854435698927,40.741,40.741,0.0815058812231984
2,1,3,1.36728888706259,40.741,40.741,0.0815058812231984
2,1,4,0.1,40.741,40.741,0.0815058812231984
2,2,1,1.06713509616437,1.62964,1.62964,0.0815058812231984
2,2,2,1.08328593759299,1.62964,1.62964,0.0815058812231984
2,2,3,1.04507667659272,1.62964,1.62964,0.0815058812231984
2,2,4,0.95,1.62964,1.62964,0.0815058812231984
2,3,1,1.59076858587111,32.5928,32.5928,0.0815058812231984
2,3,2,1.6774468906244,32.5928,32.5928,0.0815058812231984
2,3,3,1.46851709815969,32.5928,32.5928,0.0815058812231984
2,3,4,1.55577432527186,32.5928,32.5928,0.0815058812231984
3,1,1,1.64247906035212,40.741,40.741,0.0815058812231984
3,1,2,1.64515487435929,40.741,40.741,0.0815058812231984
3,1,3,1.58426432788783,40.741,40.741,0.0815058812231984
3,1,4,0.1,40.741,40.741,0.0815058812231984
3,2,1,1.09380447235602,1.62964,1.62964,0.0815058812231984
3,2,2,1.09382477360548,1.62964,1.62964,0.0815058812231984
3,2,3,1.08543589673504,1.62964,1.62964,0.0815058812231984
3,2,4,0.95,1.62964,1.62964,0.0815058812231984
