"ChangeStep","Species","A.Eigen","Is.Irreducible","Is.Ergodic","Max.Local.Eigen","Median.Local.Eigen","Min.Local.Eigen","Max.Seed.Export","Median.Seed.Export","Min.Seed.Export","Max.Seed.Import","Median.Seed.Import","Min.Seed.Import","Prop.Dispersing"
1,1,1.72814071263082,0,0,1.69549006834478,1.69549006834478,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
1,2,1.10808609225105,0,0,1.1010337143227,1.1010337143227,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
1,3,1.76133174750101,1,1,1.7278292812304,1.7278292812304,1.61889817504928,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
2,1,1.70037864135765,0,0,1.68989651270401,1.63196082818827,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
2,2,1.10172475741654,0,0,1.09975737228147,1.0888616376299,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
2,3,1.74002294346327,1,1,1.72742160816048,1.67707235229469,1.60006122925454,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
3,1,1.61485230487161,0,0,1.59508509798958,1.49562525178969,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
3,2,1.08862725182617,0,0,1.08631102501389,1.05844948157675,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
3,3,1.63559013042346,1,1,1.62104648742985,1.54156129288751,1.41321617852875,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
4,1,1.36868314158809,0,0,1.35565808034992,0.986300127922259,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
4,2,1.04692120464789,0,0,1.04534276052219,0.995767424684901,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
4,3,1.37650878001999,1,1,1.36651807248276,1.29716963480125,0.61308674976705,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
5,1,1.69894802597483,0,0,1.69154762974549,0.873008181767253,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
5,2,1.10216756501541,0,0,1.10106420871704,1.01825816594968,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
5,3,1.7284245664674,0,0,1.72026003070637,1.63525885950442,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
6,1,1.68990346635586,0,0,1.68728404430216,0.828046407041484,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
6,2,1.1014061533716,0,0,1.10101947327016,1.0071112350145,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
6,3,1.72449378147481,0,0,1.72130640000697,1.54306160386158,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
7,1,0.1,0,0,0.1,0.0716984250691317,0,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
7,2,1.10058470162537,0,0,1.10037946454202,0.996820334418251,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
7,3,1.31371920360161,0,0,1.31371911797997,0.0657653965876984,0,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
8,1,0.1,0,0,0.1,0.0425340319771765,0,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
8,2,0.980766892750736,0,0,0.980742112377433,0.956146429896353,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
8,3,0.809280484830457,0,0,0.809280435999078,0.0412609374641379,0,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
9,1,1.62273764043968,0,0,1.62110099209096,0.770121622015216,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
9,2,1.07903860477869,0,0,1.07879154872242,0.994192474740692,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
9,3,1.64971411575519,0,0,1.64840935873292,0.983499522026085,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
10,1,1.14591004220704,0,0,1.14591004220704,0.1,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
10,2,0.991730777809522,0,0,0.991730777809522,0.95,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
10,3,1.24378643342332,0,0,1.2430440197311,0.798144977131787,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
11,1,1.52891923731114,0,0,1.52853580755633,0.59880613561334,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
11,2,1.05694177486234,0,0,1.05690354276366,0.964862439386746,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
11,3,1.57084136261549,0,0,1.57003433675052,1.19853265481958,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
12,1,1.53637302076686,0,0,1.53321009668224,0.770815678370713,0.1,40.741,40.741,40.741,40.741,40.741,40.741,0.0815058812231984
12,2,1.06089116460157,0,0,1.06043341309627,0.995261391482889,0.95,1.62964,1.62964,1.62964,1.62964,1.62964,1.62964,0.0815058812231984
12,3,1.55580868267802,0,0,1.55259262735129,1.37616464837739,0.5,32.5928,32.5928,32.5928,32.5928,32.5928,32.5928,0.0815058812231984
