RunTime,Sp1,Sp2,Sp3
1,3e+05,150000,5000
2,135507.009923467,5420.28039693868,18622.5296795943
3,133863.993102348,4969.179452779,21166.8274448726
4,135930.268832994,5278.91012847283,14407.0396162779
5,126631.956550695,7274.62822281806,23707.8663529472
6,50142.2199799795,27280.8327067741,12946.4669128828
7,11566.7330556284,8291.43156955634,21295.2185212572
8,11423.8869868349,8046.67884286003,11436.3457384875
9,630.572558725199,26036.0147955201,6187.82539220167
10,0,25810.5996762772,39085.5462935455
11,4212.18870700246,25658.077257385,40073.4693032238
12,2623.84397501302,27761.1028655559,37240.1126404934
