RunTime,Sp1,Sp2,Sp3
1,1355070.09923467,54202.8039693868,186225.296795943
2,1338639.93102348,49691.79452779,211668.274448726
3,1359302.68832994,52789.1012847283,144070.396162779
4,1266319.56550695,72746.2822281806,237078.663529472
5,501422.199799795,272808.327067741,129464.669128828
6,1220936.46320411,82914.3156955634,220765.540474591
7,1220561.49957717,80466.7884286003,123417.619018379
8,6305.72558725199,260360.147955201,61878.2539220167
9,0,258105.996762772,390855.462935455
10,42121.8870700246,256580.77257385,400734.693032238
11,26238.4397501302,277611.028655559,372401.126404934
12,2252.66884832653,299336.98212596,552016.916565727
