LifeStage,Species,TimeStep,Cell1,Cell2,Cell3,Cell4
Seeds,1,1,384195.332252215,383576.780774173,383592.986208283,203705
Juveniles,1,1,1e+05,1e+05,1e+05,0
Adults,1,1,5186.64762094061,5186.64762094061,5186.64762094061,0
ALL,1,1,489381.979873155,488763.428395113,488779.633829223,203705
Seeds,2,1,15367.8132900886,15343.0712309669,15343.7194483313,8148.2
Juveniles,2,1,50000,50000,50000,0
Adults,2,1,4813.35237905939,4813.35237905939,4813.35237905939,0
ALL,2,1,70181.165669148,70156.4236100263,70157.0718273907,8148.2
Seeds,3,1,436.854457696718,1080.1479948603,1063.29434338621,183645
Juveniles,3,1,0,0,0,5000
Adults,3,1,0,0,0,649.2
ALL,3,1,436.854457696718,1080.1479948603,1063.29434338621,189294.2
Seeds,1,2,385154.474856426,384376.697631074,384397.066484621,184711.692051364
Juveniles,1,2,38419.5332252215,38357.6780774173,38359.2986208283,20370.5
Adults,1,2,5158.40321942123,5070.97416205307,5060.32869775079,0
ALL,1,2,428732.411301069,427805.349870544,427816.6938032,205082.192051364
Seeds,2,2,14297.36001629,14268.4880656072,14269.244179975,6856.70226591782
Juveniles,2,2,1536.78132900886,1534.30712309669,1534.37194483313,814.82
Adults,2,2,4841.59678057877,4929.02583794693,4939.67130224921,0
ALL,2,2,20675.7381258776,20731.8210266508,20743.2874270574,7671.52226591782
Seeds,3,2,548.165127284179,1354.81430331884,1333.68933540435,208431.605682718
Juveniles,3,2,43.6854457696718,108.01479948603,106.329434338621,18364.5
Adults,3,2,0,0,0,665.03615385697
ALL,3,2,591.85057305385,1462.82910280487,1440.01876974298,227461.141836575
Seeds,1,3,384946.024465527,383683.27746869,383645.092831139,180298.367591617
Juveniles,1,3,38515.4474856426,38437.6697631074,38439.7066484621,18471.1692051364
Adults,1,3,4349.0116885596,3851.59478659514,506.032869775079,0
ALL,1,3,427810.483639729,425972.542018393,422590.832349376,198769.536796753
Seeds,2,3,14488.9740514891,14900.5655465452,14958.3144884978,6980.22573777318
Juveniles,2,3,1429.736001629,1426.84880656072,1426.9244179975,685.670226591782
Adults,2,3,4752.97679994707,4822.86206533957,4692.68773713675,0
ALL,2,3,20671.6868530652,21150.2764184455,21077.9266436321,7665.89596436496
Seeds,3,3,565.001482983949,1416.15698476469,1396.59268036348,212721.40667061
Juveniles,3,3,54.8165127284179,135.481430331884,133.368933540435,20843.1605682718
Adults,3,3,4.33685785601757,9.59589036083589,0,839.515652293078
ALL,3,3,624.154853568385,1561.23430545741,1529.96161390391,234404.082891175
Seeds,1,4,381541.617180141,377863.864156719,306173.098525442,99273.5843815015
Juveniles,1,4,38494.6024465527,38368.327746869,38364.5092831139,18029.8367591617
Adults,1,4,3028.2056227027,3417.15807518189,50.6032869775079,0
ALL,1,4,423064.425249396,419649.34997877,344588.211095533,117303.421140663
Seeds,2,4,17273.8013239094,19063.9949638141,83393.5198814835,7372.15217536169
Juveniles,2,4,1448.89740514891,1490.05655465452,1495.83144884978,698.022573777318
Adults,2,4,4608.47619886248,4701.91341552923,4458.05335027992,0
ALL,2,4,23331.1749279208,25255.9649339979,89347.4046806133,8070.17474913901
Seeds,3,4,1184.58149594967,3072.14087946716,10433.3815930744,293354.263443137
Juveniles,3,4,56.5001482983949,141.615698476469,139.659268036348,21272.140667061
Adults,3,4,5.56229821917741,15.1127231879935,0,1721.76932308097
ALL,3,4,1246.64394246724,3228.86930113163,10573.0408611107,316348.173433279
Seeds,1,5,373513.325974189,372472.302553131,98638.6907753767,44507.1874941207
Juveniles,1,5,38154.1617180141,37786.3864156719,30617.3098525442,9927.35843815015
Adults,1,5,2811.33191082746,2139.21684327755,5.06032869775079,0
ALL,1,5,414478.819603031,412397.905812081,129261.060956619,54434.5459322709
Seeds,2,5,23419.3010414443,20851.2043357486,86320.5155188054,4150.27520625264
Juveniles,2,5,1727.38013239094,1906.39949638141,8339.35198814836,737.215217536169
Adults,2,5,4473.31993558447,4549.1288133632,4235.15068276592,0
ALL,2,5,29620.0011094197,27306.7326454932,98895.0181897197,4887.49042378881
Seeds,3,5,3067.37298436628,6676.4931111202,23217.5694490625,351342.537299627
Juveniles,3,5,118.458149594967,307.214087946716,1043.33815930744,29335.4263443137
Adults,3,5,6.13419216148879,14.0968932538768,0,1867.17733558651
ALL,3,5,3191.96532612273,6997.80409232079,24260.9076083699,382545.140979527
Seeds,1,6,371705.94441471,358741.161681984,65091.2769687843,29966.2215785501
Juveniles,1,6,37351.3325974189,37247.2302553131,9863.86907753767,4450.71874941207
Adults,1,6,989.152465425313,3428.2062531904,0,0
ALL,1,6,410046.429477554,399416.598190488,74955.146046322,34416.9403279622
Seeds,2,6,24678.0504431621,30576.397052416,82092.3218985656,3833.75172937336
Juveniles,2,6,2341.93010414443,2085.12043357486,8632.05155188054,415.027520625264
Adults,2,6,4263.75774149252,4479.31182326225,4023.39314862762,0
ALL,2,6,31283.738288799,37140.8293092531,94747.7665990737,4248.77924999862
Seeds,3,6,3616.00514212787,10682.4412655998,25166.8988346933,366200.026692077
Juveniles,3,6,306.737298436628,667.64931111202,2321.75694490625,35134.2537299627
Adults,3,6,4.7377132648405,34.3122190162795,0,2239.20159321235
ALL,3,6,3927.48015382934,11384.4027957281,27488.6557795995,403573.482015252
Seeds,1,7,335255.474833792,369914.637169111,40826.7146822001,29136.1575638131
Juveniles,1,7,371.70594441471,358.741161681984,65.0912769687843,2996.62215785501
Adults,1,7,26.8413732565834,35.087366212172,0,0
ALL,1,7,335654.022151464,370308.465697005,40891.8059591689,32132.7797216682
Seeds,2,7,55078.4470400642,20058.2186616547,78041.4649889812,3098.78385442343
Juveniles,2,7,2467.80504431621,3057.6397052416,8209.23218985656,383.375172937336
Adults,2,7,4202.51743323118,4457.51481955355,3822.22349119624,0
ALL,2,7,61748.7695176116,27573.3731864498,90072.920670034,3482.15902736076
Seeds,3,7,9666.07812614349,10027.1441692343,30243.1973658344,367765.058581763
Juveniles,3,7,3.61600514212787,10.6824412655998,25.1668988346933,36620.0026692077
Adults,3,7,0,0,0,1769.48061551174
ALL,3,7,9669.69413128562,10037.8266104999,30268.3642646691,406154.541866483
Seeds,1,8,12910.5549459718,16558.3595877144,701.996400871785,477.219106351827
Juveniles,1,8,335.255474833792,369.914637169111,40.8267146822001,2913.61575638131
Adults,1,8,0,0,0,0
ALL,1,8,13245.8104208056,16928.2742248835,742.823115553985,3390.83486273314
Seeds,2,8,82760.3710381754,85744.9395488672,74299.3424586688,4117.22215813376
