"RunTime","Sp1","Sp2","Sp3","log.lambda.Sp1","log.lambda.Sp2","log.lambda.Sp3"
1,1670630.04209749,218642.861106565,191874.496795943,NA,NA,NA
2,1489436.64702618,69822.3688455036,230955.840282177,-0.114802866777587,-1.14148519846428,0.185385028861152
3,1475143.39480425,70565.7858795077,238119.433664105,-0.00964275733645838,0.0105909787683389,0.0305458452816381
4,1304605.40746436,146004.719291671,331396.727537988,-0.122854576590382,0.727093537338588,0.330543860365697
5,1010572.332304,160709.242368421,416995.81800634,-0.25538378928625,0.0959578391706205,0.229759962702089
6,918835.114042326,167421.113447124,446374.020744408,-0.0951654276178541,0.0409154915596226,0.0680810191296861
7,778987.073529306,182877.222401456,456130.426872937,-0.165112235309819,0.0883027360059066,0.0216215803451001
8,34307.7426239762,274598.038122087,492271.436796678,-3.12262339088522,0.406493336977222,0.076251472706101
9,3097.70421377092,273666.614047098,521744.798489526,-2.40470980024944,-0.00339772030669046,0.0581483113859432
10,16246.7101775807,264491.50352724,520383.80746976,1.65722917674329,-0.0341015004961182,-0.00261194594551246
11,50438.59075641,263011.200098467,568861.096482934,1.13286613402846,-0.00561251081530793,0.0890696550572975
12,9950.14414314744,268413.036407093,571574.677404059,-1.62316953388384,0.0203303575375559,0.00475885815650814
