"ChangeStep","Species","Cell","p11","p21","p31","p12","p22","p32","p13","p23","p33"
1,1,1,0,0,459.1125,0.1,0,0,0,0.0999,0.1
1,1,2,0,0,459.1125,0.1,0,0,0,0.0999,0.1
1,1,3,0,0,459.1125,0.1,0,0,0,0.0999,0.1
1,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
1,2,1,0,0,18.3645,0.1,0,0,0,0.0997002,0.95
1,2,2,0,0,18.3645,0.1,0,0,0,0.0997002,0.95
1,2,3,0,0,18.3645,0.1,0,0,0,0.0997002,0.95
1,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
1,3,1,0,0,367.29,0.1,0,0,0,0.0998,0.5
1,3,2,0,0,367.29,0.1,0,0,0,0.0998,0.5
1,3,3,0,0,367.29,0.1,0,0,0,0.0998,0.5
1,3,4,0,0,367.29,0.1,0,0,0,0.07984,0.5
2,1,1,0,0,459.1125,0.1,0,0,0,0.0906053780740423,0.1
2,1,2,0,0,459.1125,0.1,0,0,0,0.0814688904004634,0.1
2,1,3,0,0,459.1125,0.1,0,0,0,0.0662731961520945,0.1
2,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
2,2,1,0,0,18.3645,0.1,0,0,0,0.0944403496231881,0.95
2,2,2,0,0,18.3645,0.1,0,0,0,0.087243068182521,0.95
2,2,3,0,0,18.3645,0.1,0,0,0,0.0607128068455551,0.95
2,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
2,3,1,0,0,367.29,0.1,0,0,0,0.0892917480559037,0.5
2,3,2,0,0,367.29,0.1,0,0,0,0.0814065852345845,0.5
2,3,3,0,0,367.29,0.1,0,0,0,0.061346000247454,0.5
2,3,4,0,0,367.29,0.1,0,0,0,0.0717215305174016,0.5
3,1,1,0,0,459.1125,0.1,0,0,0,0.0446680261434881,0.1
3,1,2,0,0,459.1125,0.1,0,0,0,0.0715685981598106,0.1
3,1,3,0,0,459.1125,0.1,0,0,0,0.0139990885092939,0.1
3,1,4,0,0,459.1125,0.1,0,0,0,0,0.1
3,2,1,0,0,18.3645,0.1,0,0,0,0.0536845309865533,0.95
3,2,2,0,0,18.3645,0.1,0,0,0,0.0783575559350079,0.95
3,2,3,0,0,18.3645,0.1,0,0,0,0.00410025784304974,0.95
3,2,4,0,0,18.3645,0.1,0,0,0,0,0.95
3,3,1,0,0,367.29,0.1,0,0,0,0.0460750962192195,0.5
3,3,2,0,0,367.29,0.1,0,0,0,0.0702573314192595,0.5
3,3,3,0,0,367.29,0.1,0,0,0,0.00865055885465574,0.5
3,3,4,0,0,367.29,0.1,0,0,0,0.0603849113870352,0.5
4,1,1,0,0,459.1125,0.1,0,0,0,0,0.1
