2,0.04,0.04,0.04,0.04
3,1.8,1.8,1.8,1.8
4,-0.26,-0.26,-0.26,-0.26
5,0.42,0.42,0.42,0.42
6,1.36,1.36,1.36,1.36
7,0.97,0.97,0.97,0.97
8,0.96,0.96,0.96,0.96
9,2.51,2.51,2.51,2.51
10,0.63,0.63,0.63,0.63
11,0.47,0.47,0.47,0.47
12,1.1,1.1,1.1,1.1
2,0.04,0.04,0.04,0.04
3,1.8,1.8,1.8,1.8
4,-0.26,-0.26,-0.26,-0.26
5,0.42,0.42,0.42,0.42
6,1.36,1.36,1.36,1.36
7,0.97,0.97,0.97,0.97
8,0.96,0.96,0.96,0.96
9,2.51,2.51,2.51,2.51
10,0.63,0.63,0.63,0.63
11,0.47,0.47,0.47,0.47
12,1.1,1.1,1.1,1.1
2,0.04,0.04,0.04,0.04
3,1.8,1.8,1.8,1.8
4,-0.26,-0.26,-0.26,-0.26
5,0.42,0.42,0.42,0.42
6,1.36,1.36,1.36,1.36
7,0.97,0.97,0.97,0.97
8,0.96,0.96,0.96,0.96
9,2.51,2.51,2.51,2.51
10,0.63,0.63,0.63,0.63
11,0.47,0.47,0.47,0.47
12,1.1,1.1,1.1,1.1
2,0.04,0.04,0.04,0.04
3,1.8,1.8,1.8,1.8
4,-0.26,-0.26,-0.26,-0.26
5,0.42,0.42,0.42,0.42
6,1.36,1.36,1.36,1.36
7,0.97,0.97,0.97,0.97
8,0.96,0.96,0.96,0.96
9,2.51,2.51,2.51,2.51
10,0.63,0.63,0.63,0.63
11,0.47,0.47,0.47,0.47
12,1.1,1.1,1.1,1.1
2,0.04,0.04,0.04,0.04
3,1.8,1.8,1.8,1.8
4,-0.26,-0.26,-0.26,-0.26
5,0.42,0.42,0.42,0.42
6,1.36,1.36,1.36,1.36
7,0.97,0.97,0.97,0.97
8,0.96,0.96,0.96,0.96
9,2.51,2.51,2.51,2.51
10,0.63,0.63,0.63,0.63
11,0.47,0.47,0.47,0.47
12,1.1,1.1,1.1,1.1
2,0.04,0.04,0.04,0.04
3,1.8,1.8,1.8,1.8
4,-0.26,-0.26,-0.26,-0.26
5,0.42,0.42,0.42,0.42
6,1.36,1.36,1.36,1.36
7,0.97,0.97,0.97,0.97
8,0.96,0.96,0.96,0.96
9,2.51,2.51,2.51,2.51
10,0.63,0.63,0.63,0.63
11,0.47,0.47,0.47,0.47
12,1.1,1.1,1.1,1.1
2,0.04,0.04,0.04,0.04
3,1.8,1.8,1.8,1.8
4,-0.26,-0.26,-0.26,-0.26
5,0.42,0.42,0.42,0.42
6,1.36,1.36,1.36,1.36
7,0.97,0.97,0.97,0.97
8,0.96,0.96,0.96,0.96
9,2.51,2.51,2.51,2.51
10,0.63,0.63,0.63,0.63
11,0.47,0.47,0.47,0.47
12,1.1,1.1,1.1,1.1
